Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9444444444444444,1.0,0.8333333333333334,0.9090909090909091
Decision Tree,0.9444444444444444,0.9310344827586207,0.9,0.9152542372881356
Random Forest,0.8944444444444445,0.8360655737704918,0.85,0.8429752066115702
